NAME,TEAM,FTM_AVG,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,COUNT_EASY,LOW_ASK_EASY,4HCHANGE %,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE%
Norman Powell,POR,4.03,Base Set,Common,2,Dunk,40000,5.00,0.00,Metallic Gold LE,Rare,2,Jump Shot,499,170.00,7.59
Paul George,LAC,3.96,Base Set,Common,2,Jump Shot,40000,4.00,-20.00,Throwdowns,Rare,2,Dunk,1800,104.00,-0.95
Pascal Siakam,TOR,3.81,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Block,3999,99.00,1.02
Malcolm Brogdon,IND,3.75,Base Set,Common,3,Layup,60000,2.00,-33.33,Base Set,Common,1,Dunk,1430,64.00,1.59
Donovan Mitchell,UTA,3.70,Base Set,Common,3,3 Pointer,60000,3.00,0.00,2021 All-Star Game,Rare,2,Dunk,2021,185.00,-1.60
Julius Randle,NYK,3.59,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Dunk,3999,74.00,10.45
Jaren Jackson Jr.,MEM,3.46,Base Set,Common,3,Dunk,60000,2.00,-33.33,Base Set,Common,1,Dunk,3999,90.00,0.00
Cole Anthony,ORL,3.32,Base Set,Common,3,Layup,60000,3.00,0.00,Base Set,Common,2,Jump Shot,4000,150.00,0.00
Bojan Bogdanovic,UTA,3.28,Base Set,Common,3,Handles,60000,3.00,0.00,Base Set,Common,1,3 Pointer,3999,53.00,0.00
Jusuf Nurkic,POR,3.16,Base Set,Common,2,Block,40000,13.00,8.33,Base Set,Common,1,Dunk,2680,82.00,-1.20
Fred VanVleet,TOR,3.10,Base Set,Common,2,Layup,40000,13.00,0.00,Metallic Gold LE,Rare,2,Layup,499,390.00,0.00
Dillon Brooks,MEM,3.05,Base Set,Common,2,Layup,15000,6.00,0.00,Base Set,Common,1,Assist,3999,38.00,0.00
RJ Barrett,NYK,3.00,Base Set,Common,2,Dunk,35000,5.00,-16.67,Rising Stars,Rare,2,Dunk,2021,194.00,0.00
Jalen Suggs,ORL,2.96,Base Set,Common,3,3 Pointer,4000,299.00,8.73,Base Set,Common,3,3 Pointer,4000,299.00,8.73
Jarrett Allen,CLE,2.93,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Block,3999,66.00,-1.49
Miles Bridges,CHA,2.89,Base Set,Common,2,Dunk,40000,8.00,0.00,Base Set,Common,1,Dunk,3999,105.00,8.25
John Collins,ATL,2.88,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Dunk,3999,53.00,-1.85
Kevin Love,CLE,2.88,Base Set,Common,2,Assist,40000,7.00,16.67,Base Set,Common,1,Assist,1500,135.00,1.50
Derrick White,SAS,2.86,Base Set,Common,3,Layup,9999,12.00,20.00,Base Set,Common,2,3 Pointer,12000,20.00,5.26
Gordon Hayward,CHA,2.80,Base Set,Common,3,Assist,60000,3.00,0.00,Base Set,Common,2,Jump Shot,12000,13.00,0.00
Tyler Herro,MIA,2.79,Base Set,Common,3,3 Pointer,60000,3.00,50.00,Rising Stars,Rare,2,3 Pointer,2021,220.00,0.46
Caris LeVert,IND,2.67,Base Set,Common,3,3 Pointer,60000,3.00,0.00,Base Set,Common,1,Assist,1428,98.00,15.29
D.J. Wilson,TOR,2.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brandon Knight,DAL,2.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alec Burks,NYK,2.64,Base Set,Common,2,Assist,12000,35.00,0.00,Base Set,Common,2,Assist,12000,35.00,0.00
Collin Sexton,CLE,2.64,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Dunk,3999,52.00,6.12
LaMelo Ball,CHA,2.63,Base Set,Common,2,Layup,40000,60.00,0.00,Base Set,Common,2,Assist,4000,785.00,0.00
Ricky Rubio,CLE,2.59,Base Set,Common,2,Layup,40000,7.00,0.00,Base Set,Common,1,Layup,3345,46.00,0.00
Marcus Morris Sr.,LAC,2.58,Base Set,Common,3,Jump Shot,60000,3.00,0.00,Base Set,Common,1,Dunk,1500,62.00,-3.12
Franz Wagner,ORL,2.54,Base Set,Common,3,Dunk,4000,298.00,0.68,Base Set,Common,3,Dunk,4000,298.00,0.68
Chris Paul,PHX,2.43,Base Set,Common,3,Jump Shot,60000,3.00,0.00,2021 All-Star Game,Rare,2,Dunk,2021,188.00,1.08
OG Anunoby,TOR,2.41,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Block,1358,162.00,0.00
Kyle Lowry,MIA,2.41,Base Set,Common,2,Layup,35000,7.00,-12.50,Base Set,Common,1,3 Pointer,1532,235.00,4.44
Terrence Ross,ORL,2.33,Base Set,Common,2,Dunk,40000,5.00,25.00,Base Set,Common,1,Dunk,3999,29.00,0.00
Aaron Gordon,DEN,2.29,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Dunk,3999,33.00,0.00
Darius Garland,CLE,2.26,Base Set,Common,3,Assist,60000,4.00,33.33,Base Set,Common,1,Layup,3999,279.00,-0.36
Ivica Zubac,LAC,2.25,Base Set,Common,3,Assist,60000,3.00,0.00,Base Set,Common,1,Dunk,3287,33.00,0.00
Evan Mobley,CLE,2.23,Metallic Silver FE,Fandom,3,Block,4488,315.00,1.61,Base Set,Common,3,Layup,4000,492.00,-0.40
Jalen Brunson,DAL,2.20,Base Set,Common,3,Layup,60000,2.00,-33.33,Base Set,Common,1,3 Pointer,3999,50.00,-5.66
Cam Reddish,ATL,2.12,Base Set,Common,3,Dunk,60000,3.00,0.00,Throwdowns,Rare,2,Dunk,1800,85.00,-1.16
Danilo Gallinari,ATL,2.11,Base Set,Common,3,3 Pointer,60000,3.00,0.00,Base Set,Common,1,Dunk,1000,79.00,0.00
Scottie Barnes,TOR,2.08,Base Set,Common,3,Layup,4000,555.00,0.00,Base Set,Common,3,Layup,4000,555.00,0.00
Deandre Ayton,PHX,2.04,Base Set,Common,2,Dunk,15000,32.00,0.00,Base Set,Common,1,Dunk,2986,124.00,-0.80
